,Continent,Organisation,Operating in,Response,Provided,Document / Page,area (ha),start (year),duration,define_success (Y/N),define-notes (direct extract),define-classification,SMT,monitor (Y/N),monitor-notes (direct extract),monitor-classification,evaluate (Y/N),evaluate-notes (direct extract),evaluate-classification,Notes
41,Europe,Carpathia European Wilderness Reserve,Romania,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,https://www.carpathia.org/wp-content/uploads/2024/08/FCC_Raport-anual_EN_DB_06082024-web-18mb.pdf,250000,2009,16,YES,"Document - We continue to pursue our long-term objective: to restore the areas affected by human activities which often happened outside the law.

Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.","Ecosystem
Species
Diversity
Social",M,YES,"Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.
Document - 58 permanent monitoring points for monitoring invasive species 
Therefore we chose indicators that are capable of tracking these changes over an extended period of time and also detect responses to out specific measures: Understory vegetation Specialist bird species Terrestrial arthropods
In 2021 we finalised the baseline survey of these indicators… The aim of the monitoring activities was to identify the early modifications in the characteristic understory vegetation
understory vegetation monitoring will continue in 2024, bringing a better understanding of the ecological processes following the forest habitat restoration.
monitor the impact of reintroduced bison on vegetation. In each location, we built fenced areas in each identified habitat type (1 ha in size) to create bison-free zones as control sites, while enclosures have been widely used as a control to monitor ungulate effects on vegetation.
In our monitoring activities we used various methods: direct observation, GPS collars, camera traps.
The capturing and relocating actions will go on, as well as monitoring the freed beavers.
Last year, the study focused on the feeding habits of the golden eagles by examining three occupied nests more closely and collecting and identifying samples of prey remains.
Overall proportion of viable DNA samples for wolves since winter 2017, when we started to monitor them, is 54%.","Fieldwork
Experiment
Wildlife tracking
DNA methods
Consultation",YES,"Document- We are happy to have reached our target of restoring at least 100 hectares of old clear-cuts per year… Moreover, 20,000 saplings were planted


Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.","Area
Internal
Species",
42,Europe,Kent Wildlife Trust,UK,NO,NA,"https://www.kentwildlifetrust.org.uk/
https://www.kentwildlifetrust.org.uk/sites/default/files/2023-11/KWT%202030%20Strategy%20FULL.pdf
https://www.kentwildlifetrust.org.uk/our-work/our-projects/wilder-blean-initiative
https://www.kentwildlifetrust.org.uk/choughreintroduction
https://www.kentwildlifetrust.org.uk/climate-change/conservation-grazing
https://www.kentwildlifetrust.org.uk/wilding

https://local.kent.gov.uk/kb5/kent/directory/service.page?id=lAoF6BDhCxA#:~:text=Founded%20in%201958%2C%20we%20are,habitats%20for%20everyone%20to%20enjoy.",3642,1958,67,YES,"We want to restore 30% of land and sea by 2030 through our Wilder Kent 2030 strategy…Our 25-year vision
To create a Wilder Kent where abundant wildlife has been restored across 30% of land and sea and is valued as a critical human life support system.
Aim: Create a biologically rich, extensive, connected, and resilient landscape, managed through natural processes. 
KWTG are committed to realising the global target of 30% of our land area in management for wildlife by 2030","Ecosystem
Diversity",SMT,NO,"Communicating Impact - We will continuously measure and communicate our impact, demonstrating and sharing our learning journey through the impact we achieve.",NA,NO,NA,NA,
43,Europe,Knepp Wildland Foundation,UK,NO,NA,"https://knepp.co.uk/rewilding/monitoring-and-surveys/
https://www.kneppwildlandfoundation.org/",3500,2001,24,YES,"The Knepp Wildland Foundation was founded to catalyse nature recovery across Sussex and beyond. We are using the lessons learned from the rewilding of the Knepp Estate to provide the evidence, knowledge and inspiration to support nature recovery at scale, with a particular focus on the next generation
Our Goals:
Landscape recovery
We are working towards a 100+ mile nature recovery corridor, Weald to Waves, running from Ashdown Forest, to the restored kelp forests off the Sussex coast, with Knepp at its heart. The corridor will ignite and inspire collaborations across Sussex. We will also develop a blueprint for farmer-led river restoration as part of a national pilot on landscape-scale nature recovery.
Knowledge and Influence
We are developing new tools and platforms to share the knowledge and evidence generated at Knepp with a wide audience. Through data collection, citizen science, research and storytelling, we will promote the principles of rewilding among public audiences, land managers and community groups. We will test new ways make data and evidence accessible and reach a wider range of students, researchers and policymakers.
New generation
We are investing in multidisciplinary training, research and employment opportunities for 16-25 year olds. Our aim is to create skilled, confident youth networks who can steer nature recovery into a new era. Through partnerships, including Operation Wallacea, we will provide residential placements and courses for the next generation of ecologists and conservationists.","Knowledge sharing
Social
Habitat structure",SM,YES,"This year, we are opening up two decades of insight gathered across the Wildland project. Our new Wild Data new platform combines interactive data and storytelling, offering a new space to learn about and explore rewilding in action. 

Knepp -  We undertake annual monitoring and surveys of wildlife and vegetation cover to help chart the changes happening under rewilding. Our baseline survey was undertaken in 2005, close to the start of the project. We also carry out surveys on specific species. This is a live document page that will be updated as reports become available.
VERY long list: https://knepp.co.uk/rewilding/monitoring-and-surveys/","Fieldwork
Wildlife tracking",NO,NA,NA,
44,Europe,Nattergal,UK,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,https://www.nattergal.co.uk/,1115,2021,4,YES,"Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.

Document -Our purpose is to make Nature an investable asset class …We are pioneering the commercialisation of nature restoration to help deliver the “30% by 2030” global biodiversity framework goal.","Diversity
Ecosystem
Other (targets)",M,YES,"Document - 
Boothby;
During our retreat from arable farming, we have completed over two years of baseline monitoring, enabling useful comparisons between areas still under farming with those left to rewild. We’ve collaborated with experts from across the UK to collect data on everything from the fungi in the soil, to  birds, bats, butterflies and bumblebees.  Lincolnshire Wildlife Trust have been a critical partner, helping us with our BNG plans, creating ponds and supplying green hay, to name but a few. We now have a robust understanding of how the 2km of the West Glen river that runs through the site flows, and the quality of the water. We’ve also measured the amount of carbon stored in our soil, trees and shrubs.
High fen:
Beyond biodiversity, we have also measured the distribution and depth of our peatland, which urgently needs preserved as a vital carbon store. We have established that 40% of our wildland contains peat, which if left to dry out distributes carbon dioxide into the atmosphere. Rewetting the peat and securing the storage of carbon dioxide is a major priority… We have applied a number of innovative techniques, such as topography mapping using LIDAR, and the installation of hundreds of water monitoring stations, to fully understand how the landscape will function in its natural state.

Harold’s Park
 We measure across a huge range of taxa using a number of traditional and modern methodologies. For example we are surveying bird populations in three different ways: area-based surveys (CBC), transect-based surveys (BBS) and with bioacoustics sensors, which simultaneously monitor and baseline our bat population too. We are also baselining invertebrates (using eDNA), carbon (using soil analysis and lidar), soil fungi & fauna, butterflies, other pollinators, veteran trees, aquatic diversity and much more. 

Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.","Fieldwork
DNA methods
Remote sensing",YES,Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.,"Internal
Diversity
Species
Social
Financial","3 sites - area consolidated: 
Site 1: taken on in Dec 2021, 617ha 
Site 2: taken on in Dec 2022, 292 ha
site 3: taken on in April 2024, 206 ha 
Start date, 3 sites:
Site 1: taken on in Dec 2021, 617ha 
Site 2: taken on in Dec 2022, 292 ha
site 3: taken on in April 2024, 206 ha  (oldest (2021) used)"
45,Europe,Rewilding Britain,UK,NO,NA,"https://www.rewildingbritain.org.uk/
https://www.rewildingbritain.org.uk/about-us/our-vision/2030-vision-strategy
https://assets.rewildingbritain.org.uk/documents/2030-vision-strategy-rewilding-britain.pdf
https://assets.rewildingbritain.org.uk/documents/rewilding-britain-annual-report-2024.pdf",181128,2015,10,YES,"Rewilding Britain’s vision for achieving 30% by 2030 is to expand the scale, quality and connectivity of our native habitats through:
The creation of core rewilding areas across at least 5% of Britain. These areas should focus on restoring and reinstating as wide a range of natural processes, habitats and missing species as possible. What will emerge is a diverse mosaic of native forest, peat bogs, heaths, species-rich grasslands wetlands, saltmarshes, kelp beds, seagrass and living reefs.
The establishment of nature-enhancing land and marine uses across at least 25% of Britain. These will embed and connect up core rewilding areas within broader mosaic of land and marine uses such as low-impact mixed forestry, harvesting of natural products, nature-based tourism and high-nature value grazing.

Our ambition is to see a massive upscaling of nature’s recovery across at least 30% of Britain’s land and sea by 2030, supporting natural forest and woodland, peatlands, rivers, moorlands, saltmarshes and healthy seas, as well as sustainable, green economies and rural communities.

Scaling up and connecting rewilding - By 2030 rewilding will restore and reinstate as wide a range of natural processes, habitats and species as possible – native forest, peat bog, moorland, heath, wetlands, grasslands, salt marshes, kelp beds, seagrass and living reefs – and with no loss of productive farmland. We will inspire and empower Britain's largest landowners to commit to rewilding within a mosaic of smaller rewilding sites, providing connectivity between core areas, linking land and marine areas and connecting into the heart of our cities. 

Mainstreaming rewilding - By 2030 we will see an inspiring, diverse mosaic of habitats and species across our land and at sea which allows nature to flourish, while delivering significant benefits for people – including opportunities for green local economies; healthier air, water and soils; and better health and wellbeing. By propelling rewilding into the mainstream we will achieve the necessary support from both legislation and funding to ensure a wilder future. Through integrated government policies and legislation as well as greater private and public funding mechanisms we will drive and incentivise land and marine use change. 

Nature for people - People are at the heart of rewilding. We will help to empower and inspire individuals, groups and communities to transition towards rewilding. Evidence from rewilders will demonstrate that nature-based economies increasingly provide alternative income streams and livelihoods as part of a just transition for rural and coastal communities. By 2030 we will see communities leading, shaping and benefiting from rewilding where they are, as part of a growing movement that supports, learns about and derives multiple advantages from rewilding.","Habitat structure
Ecosystem
Social
Diversity
",SMT,YES,"By 2025 we will:Collate robust data and evidence on the impacts of rewilding from Network projects through a newly developed Rewilding Monitoring Framework
Working with Rewilding Network sites, and other practitioners and academics, we are developing a rewilding monitoring framework to provide consistent, live data that demonstrates the impact of rewilding across ecological, social and economic metrics.

THE REWILDING MONITORING FRAMEWORK 
We developed the Rewilding Monitoring Framework to track ecological, social and economic data from sites across Britain. This builds on the valuable data members of the Rewilding Network have been collecting for several years. It’s a crucial step to make the case for rewilding and the role it plays in addressing the nature and climate crises. Following a useful indicator prioritisation workshop with stakeholders including academics and practitioners and some key arms-length bodies, we began piloting the trial framework with five Rewilding Network projects. We will develop our approach to delivering the framework to ensure it meets the needs of rewilders – for monitoring impact and accessing funding – and delivers critical data and evidence for decision makers and stakeholders.",Aspirational (trial stage),NO,NA,NA,"Members of GRA, but nested in Rewilding Europe"
46,Europe,Rewilding Europe,"Albania, Austria, Belarus, Belgium, Bosnia & Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark, Finland, France, Germany, Greence, Hungary, Ireland, Italy, Latvia, Lithuania, Netherlands, Poland, Portugal, Romania, Russian Federation, Slovakia, Slovenia, Spain, Sweden, Switzerland, England, Scotland, Ukraine",YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,"https://rewildingeurope.com/history/#:~:text=Rewilding%20Europe%20was%20formally%20established,Neil%20Birnie%20and%20Wouter%20Helmer.

https://www.rewildingeurope.com/wp-content/uploads/publications/rewilding-europe-annual-review-2023/",5800000,2011,14,YES,"Based on our theory of change, strategy 2030 is broken down into 4 main components, each with its own objectives and targets for 2030: wilder nature, nature for people, building engagement, scaling up rewilding.

Wilder nature - increasing the amount of land where natural ecosystem processes function freely without intervention, as well as enhancing the overall ecological health of rewilding landscapes. Simultaneously focusing on wildlife comeback by increasing populations of keystone species, either by supporting their natural recovery or through reintroduction and restocking, as well as measures to maintain and enhance human-wildlife coexistence 

Nature for people - we recognise that there can be important economic benefits from rewilding - for example the jobs and revenues generated by nature based enterprises, or the provision of cost-effective climate change mitigation. But for large parts of society the benefits of wilder nature go far beyond the economic, involving aspects of mental and physical health, recreation, identity and culture.

Building engagement - places great emphasis on reaching out to people and capturing hearts and minds. Engaging content will promote the benefits of rewilding, showcase the impact of work being carried out together with partners in our rewilding landscapes, and influence the target groups that are key to scaling up rewilding across Europe.

Scaling up rewilding - to enable rewilding to scale up across Europe we engage, inspire and empower others to adopt and apply rewilding principles, models and tools. This applies to both rewilding landscapes and new landscapes. Core tools include strategic partnerships, networks, training, mobilising youth, removing policy obstacles, applied research, and work on a range of financial mechanisms.","Habitat structure
Ecosystem
Species
Social
Other (financial) 
Knowledge sharing",MT,YES,"“They want to develop a monitoring programme…”
“in 2023, 34 monitoring initiatives were undertaken across our 10 landscapes, including 5 multi-species monitoring efforts. These initiatives primarily focused on monitoring large herbivores, carnivores, and birds… multi-species camera trap monitoring… annual census efforts…DNA analysis from scats, and eDNA analysis of water samples”","Fieldwork
Wildlife tracking
DNA methods
Aspirational",YES,"4 key areas: wilder nature, nature for people, building engagement, scaling up rewilding

Wilder nature - number of species released, area under management, funding applications, sites with keystone species introductions, grants secured, focal rewilding species

Nature for people - loans, investment, nature based business networks, network members

Building engagement - online followers, articles published, events convened, people visiting

Scaling up - new members, webinars hosted, partnership agreements, rewilding embedded in research and policy initiatives","Internal
Area
Financial
Social
Species","Members of GRA, but nested in Rewilding Europe"
47,Europe,Rewilding Oder Delta,"Germany, Poland",NO,NA,https://rewilding-oder-delta.com/en/,450000,2019,6,YES,"Our vision
Implementing our vision will make the cross-border Oder Delta region an exciting rewilding experience.
Restoring and connecting natural habitats will allow wildlife to return as they pass through the Oder Delta during migration and discover suitable habitats here.
Thanks to the return of charismatic species such as the European bison and elk, new sources of income are being created for local communities. A sustainable nature tourism, combined with nature-orientated agriculture and local products and services, is offering new income opportunities for the region and improving the quality of life of the people living there.","Habitat structure
Social",M,NO,NA,NA,NO,NA,NA,"Members of GRA, but nested in Rewilding Europe - Rewilding Oder Delta e.V. was founded in 2019 as an independent association based in Stolpe an der Peene (Germany).”

Area = 70,000 hectares of the centrally located Stettin Lagoon and 380,000 hectares of surrounding forest and open landscape."
48,Europe,Rewilding Portugal,Portugal,NO,NA,"https://rewilding-portugal.com/

https://drive.google.com/file/d/1oqqkGz-Wr8RN1rvpAW2_7Bmy4vNhnybE/view",120000,2019,6,YES,"Its mission is to promote nature conservation through rewilding measures in Portugal.
Rewilding Vision
In the long-term, we want the Greater Côa Valley to be a wilder place, with fully functioning coherent ecosystems and abundant wildlife. A place where natural processes and complete trophic chains play key roles in the regeneration of the landscape.
Already, wildlife has returned to parts of the rewilding area, with species such as the Iberian wolf, red deer and roe deer expanding their ranges. We also want to build a nature and culture-based economy to create communal support for a wilder environment in which natural processes and key wildlife shape the landscape.

Project Objectives
The main aim of this project is to develop a coherent ecosystem and strengthen the wildlife corridor of the Côa Valley (120.000 hectares). In addition, the project aims to build a nature and culture-based economy to create communal support for a wilder environment in which natural processes and key wildlife shape the landscape. More specifically, the project aims to:
Increase the area of land under restoration in order to increase connectivity in the Côa Valley;
Bring back wildlife, and improve the status of prey base for Iberian lynx, wolf, Bonelli´s eagle, Iberian imperial eagle and black vulture;
Reduce the main threats to habitats and species (poaching, poisoning and fire), wolf-husbandry conflict and the use of toxic ammunition;
Create a scalable nature-based economy that improves the socio-economic situation of local communities;
Increase awareness about nature conservation, and create pride towards Rewilded Landscapes at local and national level.","Ecosystem
Diversity
Species
Social
Habitat structure",SM,YES,"Fire monitoring program
Release of tauros: animals were released into a closed enclosure so that they could acclimatise…while the team monitored their health and behaviour.
Monitoring guarding dog program
2023 was a year in which rewilding Portugal dedicated a lot of time and resources to monitoring scavenging and rupicolous birds…many hours of observaiton in the field…automatic acoustic detection equipment…marking with GPS devices","Fieldwork
Wildlife tracking",YES,"Rewilding Portugal in numbers: grouped by general, rewilding, enterprise, and communication
Hectares managed, visitors, overnight stays, ponds built, vertebrate species recorded, wildlife ambassadors, local product boxes delivered, growth on social media, invertebrate species recorded, journalists participating, hectares converted, network members, fenced installed, art pieces built, evaluation scores, guarding dogs integrated, fungi species recorded, scavenger birds marked with GPS, area covered by surveillance teams, volunteers involved, products sold, illegal traps detected, social media followers, area of forest restoration, participants in photo contest, horses released, rewilding areas opened to visitros, plant species recorded, semiwild tauros released","Diversity
Internal
Area
Social
Species","Members of GRA, but nested in Rewilding Europe - “Rewilding Portugal is a private non-profit organization, established in January 2019 in Guarda.
Its mission is to promote nature conservation through rewilding measures in Portugal."""
49,Europe,Rewilding Sweden,Sweden,NO,NA,"https://rewilding-sweden.com/wp-content/uploads/sites/2/2023/09/802480-9967-Arsredovisning_2022.pdf
Annual report - Swedish language",NA,2016,9,YES,"MISSION
Giving more space to nature can create new income opportunities – we support new business based on wild nature.

Rewilding vision
Swedish Lapland – Sápmi – has become known as the untamed and uniques land of the north, serving as the great home for the Sami, charismatic species and natural treasures. It is a vast landscape connecting the Atlantic with the Baltic Sea through some of Europe’s wildest rivers. It is famous for its abundance of big moose living together with bears, wolverines and lynx, big reindeer herds migrating between the mountains and the largest remaining tracts of old-growth taiga forests left in Europe, the snow-capped mountains and glaciers, and where three of Europe’s largest untamed rivers remain free-flowing.

","Habitat structure
Social
Species",M,NO,NA,NA,NO,NA,NA,"Members of GRA, but nested in Rewilding Europe = “Our activities have been ongoing since 2016 with several initiatives and activities in Norrbotten, partly due to the support of the Swedish Postcode Foundation. Our legal name is the Fundraising Foundation Rewilding Europe – Sweden, but in everyday life we call ourselves Rewilding Sweden.”"
50,Europe,Scotland: the Big Picture,Scotland,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,"https://www.scotlandbigpicture.com/northwoods

https://www.scotlandbigpicture.com/northwoods",9523,2008,17,YES,"Key aims of the network
1. To enable impactful rewilding actions that deliver positive ecological and socio-economic outcomes.
2.To demonstrate new models of land management and to showcase the successes of the Northwoods land partners.
3. To develop nature-based business opportunities to make rewilding economically viable for medium-sized landholdings.
4. To expand knowledge and understanding of the principles and benefits of rewilding.","Social
Knowledge sharing",NO,NO,NA,NA,YES,"Impact 2021-2023
Trees planted, area set aside for tree regeneration, ponds created, area of peatland restored, watercourses renaturalised, leaky dams installed, hedgerows planted, fences removed, area of new grassland, beavers released, wildcats reported, newts translocated, damselfly recolonised, native cattle grazing, partners using virtual fence technology, native horses and ponies grazing, visitor events, educational events, nature-related enterprises, number of employees, £ spent with local suppliers and service providers","Area
Internal
Social
Species",Area: https://www.scotlandbigpicture.com/nrn-partners?load=grid added together
51,Europe,The European Nature Trust,Scotland,NO,NA,https://theeuropeannaturetrust.com/about-us/,NA,2000,25,YES,"Multiple projects across UK and Europe
Lynx to Scotland objectives: 
Identify socio-economic barriers to lynx reintroduction and determine whether these can be overcome.
Compile evidence required to justify lynx reintroduction addressing ecological, socio-economic and other benefits.
Mainstream the concept of lynx reintroduction in wider Scottish society and among decision-makers.
Assemble the evidence required to submit a licence application to release lynx, if appropriate.

Riverwoods catchment restoration: Throughout the years, projects delivered will form a mosaic of restored habitats across the catchment that together, restore its ecological function, allowing salmon to thrive in their freshwater ecosystems.

Scotland: the big picture (already captured)

Beaver Trust (already captured)
","Social
Knowledge sharing
Ecosystem
Other (legal)
Habitat structure",M,NO,NA,NA,YES,"Multiple projects:
Scottish wildcat achievements:
1 breeding centre established at Alladale
8 kittens born at Alladale across 2018–2020
56 wildcat kittens born at RZSS’s Saving Wildcats breeding for release centre
28 adult wildcats released into the Cairngorms National Park","Internal
Species",
52,Europe,Whole Wild World,Portugal,NO,NA,https://www.wholewildworld.org/projects-1,NA,NA,NA,YES,"Long term, we plan to extend this area, via ecological corridors, up to and beyond the size of Gibraltar (630 hectares).",Habitat structure,SM,NO,NA,NA,NO,NA,NA,
53,Europe,Wild Europe,Europe,NO,NA,"https://www.wildeurope.org/
https://www.wildeurope.org/wp-content/uploads/2021/03/Wild-Europe-Summary-Action-Plan.pdf",NA,2005,20,YES,"Wild Europe’s Objectives
To promote the protection, restoration and extension and linkage of large natural ecosystems (wilderness and wild areas) in Europe, according to principles of non-intervention, with management by natural process
To develop and support initiatives for this work, in liaison with a broadly based trans-European network of organisations and individuals having similar objectives
To support a range of wilderness area models for non-intervention, to be protected in perpetuity  
To promote the multiple values of wilderness and wild areas in support of these objectives, through advocacy and other forms of representation, incentive, best practice sharing, training and general support
To encourage, on an occasional non-financial basis, initiatives that seek to uphold Europe’s positive influence in protecting wilderness areas elsewhere in the world 
","Habitat structure
Knowledge sharing",NO,NO,"Objectives for 2024 - 1.2    Support for Forest Monitoring Law with comprehensive criteria…1.3 LEAF project – proposal and implementation…Local NGO & specialist networks to identify and monitor
…	Soil carbon focus in Directive on Soil Monitoring and Resilience …
7.4    Conservation input to the development & monitoring of PES related funding instruments",Aspirational,YES,"Achievements for 2022-23
1.  Support for key outcomes from EU Biodiversity Strategy:
Ongoing promotion of the strict protection adopted for the 10% of EU terrestrial & marine areas, particularly old growth/primary forest, with non-intervention as its general default mode – allowing exceptions for managed habitats (secondary: grasslands, heathlands) and key threatened species
Development and joint presentation of key elements for a Restoration Strategy at the Society for Ecological Restoration (SER) in Alicante, September 2022, by Wild Europe (Ladislav Miko, Erika Stanciu, Toby Aykroyd) and SER (Kris DeCleer)
Promotion of importance of ecosystem integrity (especially natural forest), non-intervention for Post 2022 Global Biodiversity Framework (GBF) at COP15 (Zoltan Kun) in Montreal
Wild Europe definitional criteria used in large scale wilderness mapping for Iceland, a model project for land use planning and large-scale protection with restoration, launched by partner Wildland Research Centre with Wild Europe in Reykjavik by Environment Minister
2.  Promotion of key objectives in the EU Forest Strategy
Further promotion of a multi-criteria definition structure for old-growth forest (OGF)/primary forest
Non-intervention oriented definitions for strict protection, deforestation, degradation in representations to EC consultations
Implementing IUCN Marseille Resolution 127 for improved conservation support and cessation of logging in European OGF/primary forests; this was based on Wild Europe’s OGF Protection Strategy, passed by 674 votes including 93 Category A (including governments)
Further promotion of strict protection for the 3% remaining primary/old growth forest to be extended to 15% of EU forest cover – for maximum ecological function, consolidation, adequate buffering and connectivity of remnants (c of 6% total EU area)
Input into Close To Nature (CTN) forestry, including non-tree elements & mixed habitat with ecotones
Promotion of LEAF initiative (Last European Ancient Forests) for forest protection and restoration through collective representation, Early Warning System, capacity building
3.  Stage III of Griffith programme. Further usage of the 326,000 euro contract transferred by Wild Europe to Frankfurt Zoological Society, working in partnership on the following projects:
Promote adoption of Francesco Sabatini’s OGF mapping methodology and definition, in liaison with EEA, for wider EU Biodiversity Strategy implementation at MS level
Promotion of forest carbon model, distinguishing greater OGF storage capacity of unmanaged forests and the role of larger trees
Support for community enterprise, including retail, in Slovakia (Wolf Mountains initiative)
Promoting launch of Forest School and wider replication
 4.  Forest bioenergy programme
Development with Trinomics consultancy of RECCS (Renewable Energy and Climate Change Strategy) project proposal for reallocation of commercial scale forest bioenergy subsidies to alternatives: genuine renewables, demand suppression enterprise (insulation, recycling, fuel efficiency) and conservation of carbon absorbent ecosystems  
Representation to RED III Taxonomy – which now excludes usage of OGF/Primary forests
Lobbying plan for UK and EU in support of the above
Initiating an anti-forest bioenergy, pro RECCS alliance including liaison with consumer organisations, taxpayer associations, enterprise and investor interests 
Promoting further linkage of forest bioenergy and fossil fuel campaign networks, under the banner End Carbon Fuels, including webinars with high profile specialists
Liaison with finance specialist fossil fuel campaign organisations. Further exchange of good practice on representations to investor interests.
Inputs to RED II reform, LULUCF and biomass finance consultation
5. Large natural ecosystem (wilderness) area programme 
Formulation of our 10% wilderness target in Europe: 5% with all criteria, 5% characteristics but with relaxed scale requirement – review of potential for enlargement/linkage of existing areas (see 1 above)
Nephin, Ireland – the Coillte agency rewilding project for which we chaired the international launch. Support for a broader restoration funding initiative
Input to the Clima Carpathia initiative for Carpathian Mountains, and promotion to the Carpathian Convention conference in Belgrade, including environment ministers of the 7 member states, in October 2023
Presentation to the Global Conservation Organisation and Caucasus NGOs at Borjomi, Georgia on Clima Carpathia and subsequent liaison on potential for creating a network of large natural ecosystems
6. Development of national level strategies for wilderness
Promotion of the 5% core area of strict non-intervention protection with PES funding support for UK
Further promotion of the wild area definition in Europe
Active engagement with IUCN France Groupe de Travail and Coordination Libre Evolution network: promotion of wilderness strategy, Payment for Ecosystem Services (PES) usage, action against Rural Law on de-wilding
Presentation to Reserves Nationales De France (RNF) anniversary conference
Support for Czech Republic wilderness strategy
7. Promotion of economic-enterprise agenda for conservation
Presentation on funding for conservation and the role of corporate support at the WWF global Paris Business & Biodiversity Conference in June 2023
Promotion of private sector incentives: reform of compensation payment agenda and full activation of Payment for Ecosystem Services agenda
Representation at the CBD COP in Geneva 2022, inputs to debate on Sovereign Bonds to prevent deforestation
Input to European Investment Bank strategy development, with proposals for its ‘climate bank’ vision to incorporate structured support for largescale restoration of carbon absorbent ecosystems
Introduction of “GDP argument” that agriculture and forestry represent under 2.5% of EU GDP yet the remaining 97.5% bears cost of subsidies and the impact of climate change or biodiversity degradation adversely affecting performance. Disproportionate lobby power needs rebalancing – with prioritizing of funding to incentivize conservation action
8. Development of key topic/strategy agendas
Roadless legislation: promotion of benefits and development support 
Proposal of reforms to Environmental Impact Assessment (EIA) procedure
Capacity building for both conservation and enterprise sectors
Further information is available on all these initiatives, via info@wildeurope.org","External
Academic
Internal
Financial",
54,Europe,Wildwood Trust,UK,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,https://www.wildwoodtrust.org/,250,2002,23,YES,"Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.
","Diversity
Species
Ecosystem",NO,YES,Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.,"Fieldwork
Experiment",NO,Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.,Aspirational (after enough monitoring),Area from conversation
55,Europe,Youngwilders,UK,NO,NA,https://www.youngwilders.org/_files/ugd/9f1e86_f279692d89ff426fb110c6d5ab892c7a.pdf?index=true,56,2022,3,YES,"Our Dual Mission
1. Accelerate nature recovery in the UK 
2. Involve young people in the process and the movement 

Over the next three years, we will grow both our network of skilled and ecologically literate young people and the number of opportunities for them to get involved in nature recovery.
We want every young person in England and Wales to be no more than 50km from a youth-led, locally engaged and educative nature recovery project. We want a new generation of environmental leaders, up-skilled, inspired, and connected to our natural world. We want a UK-wide thriving ecology where young people’s environmental voices are heard and our connection to nature is reignited.","Social
",SMT,NO,NA,NA,YES,"Our impact: number of projects, number of counties, number of volunteer days, acres in recovery, young people engaged in person, instances of young wilding, trees planted, habitat under restoration, hedgerow planted","Internal
Area
Social",
56,Global / Multi Continent,Conservation Beyond Borders,"Uganda, Zimbabwe, South Africa, Rwanda, Senegal, Namibia, India Vietnam",NO,NA,https://www.conservationbeyondborders.org/success-stories,NA,NA,NA,YES,"CBBs mission is to discover and document biodiversity situated in various habitats and to provide evidence-based guidelines for valued habitat conservation. …
By providing the research and framework for informed decisions, CBB achieves two goals: (1) We help in the fight to bring the world’s most critically endangered species back from the brink of extinction, and (2) we provide sound scientific evidence for designing conservation-based initiatives that can help resolve local human-wildlife conflicts.","Diversity
Knowledge sharing",NO,NO,NA,NA,NO,NA,NA,
